recipe_title,ingredient,,,,,,,,
Healthy Turmeric Chicken Stew,2 teaspoons ground turmeric,,,,,,,,
Healthy Turmeric Chicken Stew,1/2 cup low-sodium chicken broth,broth,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,4 oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 blood oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,"1 small onion, finely diced",diced,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 tablespoons olive oil,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,2 tablespoons lemon juice,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,salt,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,1 pinch freshly ground black pepper,black,pepper,,,,,,
Turkish Orange Salad with Mediterranean Dressing,10 dried black olives,,,,,,,,
Acai Smoothie Bowl,"1 large banana, divided",,,,,,,,
Acai Smoothie Bowl,"3 1/2 ounces acai berry pulp, frozen, unsweetened",berry,"pulp,","frozen,",unsweetened,,,,
Acai Smoothie Bowl,"2 tablespoons soy milk, or more as needed",or,more,as,needed,,,,
Acai Smoothie Bowl,2 tablespoons granola,,,,,,,,
Orange Roasted Salmon,"2 oranges, sliced into rounds",rounds,,,,,,,
Orange Roasted Salmon,"1 onion, thinly sliced",,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons olive oil,oil,,,,,,,
Orange Roasted Salmon,5 (6 ounce) salmon fillets,fillets,,,,,,,
Orange Roasted Salmon,1 tablespoon lemon pepper,,,,,,,,
Orange Roasted Salmon,1 1/2 teaspoons garlic powder,powder,,,,,,,
Orange Roasted Salmon,1 tablespoon dried parsley,,,,,,,,
Orange Roasted Salmon,1/2 cup orange juice,,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons lemon juice,juice,,,,,,,
Orange Roasted Salmon,1 tablespoon honey,,,,,,,,
Quinoa with Asian Flavors,1 tablespoon extra-virgin olive oil,oil,,,,,,,
Quinoa with Asian Flavors,1 cup quinoa,,,,,,,,
Quinoa with Asian Flavors,2 cups chicken broth,,,,,,,,
Quinoa with Asian Flavors,2 tablespoons soy sauce,,,,,,,,
Quinoa with Asian Flavors,1 tablespoon minced fresh ginger root,ginger,root,,,,,,
Quinoa with Asian Flavors,"1 clove garlic, minced",,,,,,,,
Quinoa with Asian Flavors,"2 green onions, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 head cauliflower, stemmed and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"2 large cucumbers, seeded and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 (8 ounce) package baby carrots, chopped",baby,"carrots,",chopped,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"8 ounces radishes, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 (8 ounce) package mushrooms, stemmed and chopped","mushrooms,",stemmed,and,chopped,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"4 ounces cilantro, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"4 leaves kale, stemmed and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 large poblano pepper, seeded and chopped",seeded,and,chopped,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 cup lime juice,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 cup white vinegar,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,2 tablespoons ground paprika,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon extra-virgin olive oil,oil,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon minced garlic,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon minced fresh oregano,oregano,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon ground cumin,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 teaspoon chili powder,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 teaspoon ground cloves,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 teaspoon ground coriander,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 pinch salt and ground black pepper to taste,ground,black,pepper,to,taste,,,
Khitchari,4 cups water,,,,,,,,
Khitchari,1/2 cup basmati rice,,,,,,,,
Khitchari,1/2 cup split mung beans,beans,,,,,,,
Khitchari,"1 teaspoon grated fresh ginger, or more to taste","ginger,",or,more,to,taste,,,
Khitchari,1 teaspoon ground coriander,,,,,,,,
Khitchari,1 teaspoon dried oregano leaves,leaves,,,,,,,
Khitchari,"1 clove garlic, minced",,,,,,,,
Khitchari,1/2 teaspoon ground cumin,,,,,,,,
